platform,variant,dataset_rows,iteration,wcss
rpi5,seq,100000,1,256.05380078917142
rpi5,seq,100000,2,232.49675009195744
rpi5,seq,100000,3,190.52723254406547
rpi5,seq,100000,4,186.24422688772975
rpi5,seq,100000,5,175.49372214542078
rpi5,seq,100000,6,166.37024450015795
rpi5,seq,100000,7,162.87693198960076
rpi5,seq,100000,8,161.61854529597525
rpi5,seq,100000,9,161.30237008167254
rpi5,seq,100000,10,161.19635869191785
rpi5,seq,100000,11,161.07593105349221
rpi5,seq,100000,12,160.80083731229632
rpi5,seq,100000,13,160.26421940388957
rpi5,seq,100000,14,158.60842475962625
rpi5,seq,100000,15,156.81056921575831
rpi5,seq,100000,16,156.51385892456443
rpi5,seq,100000,17,156.49274663279414
rpi5,seq,100000,18,156.48529909687471
rpi5,seq,100000,19,156.48145891119725
rpi5,seq,100000,20,156.47971229674411
rpi5,seq,100000,21,156.47886136193387
rpi5,seq,100000,22,156.47844358588983
rpi5,seq,100000,23,156.478257162603
rpi5,seq,100000,24,156.47811250726932
rpi5,seq,100000,25,156.47802058404142
rpi5,seq,100000,26,156.47798474833206
rpi5,seq,100000,27,156.47796638401303
rpi5,seq,100000,28,156.47795782219896
rpi5,seq,100000,29,156.47795509368052
rpi5,seq,100000,30,156.47795470604012
rpi5,seq,100000,31,156.47795462815475
rpi5,seq,100000,32,156.47795462815475
rpi5,seq,100000,33,156.47795462815475
rpi5,seq,100000,34,156.47795462815475
rpi5,seq,100000,35,156.47795462815475
rpi5,seq,100000,36,156.47795462815475
rpi5,seq,100000,37,156.47795462815475
rpi5,seq,100000,38,156.47795462815475
rpi5,seq,100000,39,156.47795462815475
rpi5,seq,100000,40,156.47795462815475
rpi5,seq,100000,41,156.47795462815475
rpi5,seq,100000,42,156.47795462815475
rpi5,seq,100000,43,156.47795462815475
rpi5,seq,100000,44,156.47795462815475
rpi5,seq,100000,45,156.47795462815475
rpi5,seq,100000,46,156.47795462815475
rpi5,seq,100000,47,156.47795462815475
rpi5,seq,100000,48,156.47795462815475
rpi5,seq,100000,49,156.47795462815475
rpi5,seq,100000,50,156.47795462815475
rpi5,seq,100000,51,156.47795462815475
rpi5,seq,100000,52,156.47795462815475
rpi5,seq,100000,53,156.47795462815475
rpi5,seq,100000,54,156.47795462815475
rpi5,seq,100000,55,156.47795462815475
rpi5,seq,100000,56,156.47795462815475
rpi5,seq,100000,57,156.47795462815475
rpi5,seq,100000,58,156.47795462815475
rpi5,seq,100000,59,156.47795462815475
rpi5,seq,100000,60,156.47795462815475
rpi5,seq,100000,61,156.47795462815475
rpi5,seq,100000,62,156.47795462815475
